discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
,,Marvel Spider-Man Pattern Pouch Pocket Hoodie,35.99,8332746,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Graphic,Letter;Material:Polyester,Spandex;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5380kg;Package Contents:1 x Hoodie",https://www.dresslily.com/marvel-spider-man-pattern-pouch-product8332746.html,
,,Halloween Moon Night Pattern Front Pocket Drawstring Hoodie,29.99,8337605,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Moon,Pumpkin;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie",https://www.dresslily.com/halloween-moon-night-pattern-front-product8337605.html,
,,Stripes Spliced Raglan Sleeve Half Zipper Hoodie,29.99,8198593,"Clothes Type:Hoodie;Occasion:Daily,Going Out,Night Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Stripe;Season:Fall,Spring;Weight:0.4440kg;Package Contents:1 x Hoodie",https://www.dresslily.com/stripes-spliced-raglan-sleeve-half-product8198593.html,
,,Contract Color Pullover Hooded Cloak,26.99,5117627,"Clothes Type:Hoodie;Occasion:Festival;Style:Fashion;Fit Type:Regular;Shirt Length:Long;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Thin;Patterns:Color Block;Season:Winter;Weight:0.4460kg;Package Contents:1 x Cloak",https://www.dresslily.com/contract-color-pullover-hooded-cloak-product5117627.html,
,,Hooded Drawstring Graphic Print Hoodie,29.99,2123095,"Style:Fashion;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Weight:0.5520kg;Package Contents:1 x Hoodie",https://www.dresslily.com/hooded-drawstring-graphic-print-hoodie-product2123095.html,
,,Universe Planet Graphic Kangaroo Pocket Drawstring Hoodie,29.99,8169572,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5700kg;Package Contents:1 x Hoodie",https://www.dresslily.com/universe-planet-graphic-kangaroo-pocket-product8169572.html,
,,Dragon Pattern Colorblock Casual Hoodie,34.99,8372804,"Clothes Type:Hoodies;Style:Casual;Occasions:Daily;Collar:Hooded;Shirt Length:Regular;Sleeve Length:Full;Pattern Type:Animal,Colorblock,Dragon,Print;Embellishment:Front Pocket;Material:Polyester;Fabric Stretch:No Stretch;Season:Fall,Spring,Winter;Weight:0.6500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/dragon-pattern-colorblock-casual-hoodie-product8372804.html,
,,Open Front Hoodie,22.99,8174912,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Solid;Season:Fall,Spring;Weight:0.3700kg;Package Contents:1 x Hoodie",https://www.dresslily.com/open-front-hoodie-product8174912.html,
,,Cute 3D Snowman Print Pullover Hoodie,32.99,7124372,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily Use;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:3D Print,Snowman;Season:Winter;Weight:0.4800kg;Package Contents:1 x Hoodie",https://www.dresslily.com/cute-3d-snowman-print-pullover-product7124372.html,
,,Valentine's Day 3D Lips Print Pullover Hoodie,32.99,7741593,Clothes Type:Hoodie;Occasion:Festival;Style:Romantic;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Heart;Season:Winter;Weight:0.4800kg;Package Contents:1 x Hoodie,https://www.dresslily.com/valentine-s-day-3d-lips-product7741593.html,
